,scores,names,logfoldchanges,pvals,pvals_adj
53,-9.09332275390625,S100A4,-1.5888396501541138,9.605720596420758e-20,3.6332748737387773e-17
54,-9.08426570892334,ADIRF,-2.6392979621887207,1.0440135171727735e-19,3.877086561500709e-17
55,-9.025578498840332,BCAP31,-0.9485644102096558,1.78749172474872e-19,6.519556871070108e-17
56,-8.994064331054688,VAMP8,-1.4697673320770264,2.382530369477422e-19,8.537400490627428e-17
57,-8.978778839111328,CYP1B1,-2.1363794803619385,2.7378769519309893e-19,9.641575300550078e-17
58,-8.974627494812012,TNFAIP2,-2.390073776245117,2.843118000981746e-19,9.842489011873248e-17
59,-8.9574556350708,FAM127B,-1.6486988067626953,3.322568144452305e-19,1.1310575725073056e-16
60,-8.927639961242676,CAPN2,-1.3721587657928467,4.351929334505225e-19,1.457182896020807e-16
61,-8.846685409545898,IER3,-1.6217797994613647,9.01569592150019e-19,2.970090148332925e-16
62,-8.826871871948242,VMA21,-0.9504064917564392,1.0764433354533127e-18,3.48989763914824e-16
63,-8.805547714233398,EMD,-1.0869114398956299,1.3021497540785276e-18,4.155688863602176e-16
64,-8.800641059875488,SVIL,-1.4006211757659912,1.3603625995703799e-18,4.274677860957694e-16
65,8.748936653137207,RP11-496I9.1,3.6181814670562744,2.153731851754428e-18,6.665147435164272e-16
66,-8.71610164642334,ABCC3,-2.954475164413452,2.8794491651352514e-18,8.778022268341419e-16
67,-8.707986831665039,HMGA1,-0.9897432327270508,3.093179923488889e-18,9.248149801802802e-16
68,8.706854820251465,FAM213A,1.1012893915176392,3.1242219648685106e-18,9.248149801802802e-16
69,8.660999298095703,HOXB5,1.4460482597351074,4.6764474096966315e-18,1.36452054775791e-15
70,-8.6202392578125,FAM50A,-1.1075116395950317,6.681427742751743e-18,1.917381605735352e-15
71,-8.618918418884277,PAK1,-1.444270372390747,6.7589461744404085e-18,1.917381605735352e-15
72,-8.613823890686035,PERP,-0.9261093735694885,7.066350130056873e-18,1.977126046663173e-15
73,8.584762573242188,SYT1,2.9529879093170166,9.102401604187712e-18,2.512385848182892e-15
74,-8.524188041687012,PRPS1,-1.3902699947357178,1.5388487055403427e-17,4.190797974754867e-15
75,-8.518904685974121,TIMP1,-1.158416986465454,1.6106925636038143e-17,4.328736264685251e-15
76,8.46757698059082,HOXB9,1.4488023519515991,2.5055041800707366e-17,6.646093880252571e-15
77,-8.447762489318848,ELOVL2,-2.079833745956421,2.969376441795562e-17,7.775578695342867e-15
78,8.42153263092041,H2AFY2,5.749971866607666,3.715899827610308e-17,9.579298321297489e-15
79,-8.420400619506836,NKAP,-1.2714495658874512,3.751989550569396e-17,9.579298321297489e-15
