"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"C3orf18","OK","negbinomial.size",0.00206705137207655,0.0114230314595951,"C3orf18","ENSG00000088543","False",124,0.038123168,0.037414435,96.3636363636364,130,4.8751974,124,"C3orf18",FALSE
"HEMK1","OK","negbinomial.size",0.256148731606516,0.504760042746077,"HEMK1","ENSG00000114735","False",646,0.22756599,0.20503333,81.0557184750733,776,6.6554403,646,"HEMK1",FALSE
"CISH","OK","negbinomial.size",0.409862972386103,0.666774544670576,"CISH","ENSG00000114737","False",55,0.016129032,0.016000342,98.3870967741936,55,4.0253515,55,"CISH",FALSE
"MAPKAPK3","OK","negbinomial.size",0.166787446230325,0.383629908699818,"MAPKAPK3","ENSG00000114738","False",1177,0.49560118,0.40252826,65.4838709677419,1690,7.4330754,1177,"MAPKAPK3",FALSE
"RP11-804H8.6","OK","negbinomial.size",0.640268277990809,0.840185003402652,"RP11-804H8.6","ENSG00000273356","False",36,0.01085044,0.0107919965,98.9442815249267,37,3.637586,36,"RP11-804H8.6",FALSE
"DOCK3","OK","negbinomial.size",0.571143366961038,0.791036687242027,"DOCK3","ENSG00000088538","False",13,0.0038123168,0.0038050683,99.6187683284458,13,2.6390574,13,"DOCK3",FALSE
"MANF","OK","negbinomial.size",1.88257143596001e-08,2.51975895016273e-07,"MANF","ENSG00000145050","False",2092,1.2601173,0.8154167,38.6510263929619,4297,8.365905,2092,"MANF",FALSE
"RBM15B","OK","negbinomial.size",0.00207123812494767,0.0114368852938784,"RBM15B","ENSG00000259956","False",1130,0.44457477,0.36781502,66.8621700879766,1516,7.32449,1130,"RBM15B",FALSE
"VPRBP","OK","negbinomial.size",0.027215682323392,0.100575413688309,"VPRBP","ENSG00000145041","False",746,0.2548387,0.22700705,78.1231671554252,869,6.768493,746,"VPRBP",FALSE
"RAD54L2","OK","negbinomial.size",0.000373270347946207,0.00247373356807309,"RAD54L2","ENSG00000164080","False",749,0.2633431,0.23376146,78.0351906158358,898,6.801283,749,"RAD54L2",FALSE
"TEX264","OK","negbinomial.size",0.601595285269004,0.813837311642264,"TEX264","ENSG00000164081","False",2139,1.2542522,0.8128183,37.2727272727273,4277,8.361241,2139,"TEX264",FALSE
"GRM2","OK","negbinomial.size",0.512496479812905,0.749891869057854,"GRM2","ENSG00000164082","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"GRM2",FALSE
"RRP9","OK","negbinomial.size",3.38509569248765e-12,6.8051751495138e-11,"RRP9","ENSG00000114767","False",1184,0.54222876,0.4332286,65.2785923753666,1849,7.522941,1184,"RRP9",FALSE
"PARP3","OK","negbinomial.size",0.0645394825032441,0.195755706879828,"PARP3","ENSG00000041880","False",298,0.09266862,0.08862298,91.2609970674487,316,5.7589016,298,"PARP3",FALSE
"PCBP4","OK","negbinomial.size",1.58630317021424e-08,2.14004242084715e-07,"PCBP4","ENSG00000090097","False",1223,0.59296185,0.46559507,64.1348973607038,2022,7.6123366,1223,"PCBP4",FALSE
"ABHD14B","OK","negbinomial.size",0.258276181773046,0.507190752111765,"ABHD14B","ENSG00000114779","False",1422,0.7260997,0.54586434,58.2991202346041,2476,7.8148036,1422,"ABHD14B",FALSE
"ABHD14A","OK","negbinomial.size",0.340273674456216,0.600076826175808,"ABHD14A","ENSG00000248487","False",1057,0.41906157,0.3499958,69.0029325513196,1429,7.2654295,1057,"ABHD14A",FALSE
"ABHD14A-ACY1","OK","negbinomial.size",0.310493704238291,0.568589973872216,"ABHD14A-ACY1","ENSG00000114786","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"ABHD14A-ACY1",FALSE
"ACY1","OK","negbinomial.size",0.614587395400531,0.82142046532233,"ACY1","ENSG00000243989","False",145,0.045161292,0.04417122,95.7478005865103,154,5.043425,145,"ACY1",FALSE
"RPL29","OK","negbinomial.size",2.93182131233075e-09,4.31740809692543e-08,"RPL29","ENSG00000162244","False",3407,54.923462,4.023984,0.0879765395894405,187289,12.140413,3407,"RPL29",TRUE
"DUSP7","OK","negbinomial.size",0.000757720402088871,0.00468415230407542,"DUSP7","ENSG00000164086","False",957,0.3718475,0.31615838,71.9354838709677,1268,7.1459846,957,"DUSP7",TRUE
"POC1A","OK","negbinomial.size",4.9438503366773e-24,2.20958737695041e-22,"POC1A","ENSG00000164087","False",949,0.37272727,0.31679946,72.1700879765396,1271,7.148346,949,"POC1A",TRUE
"ALAS1","OK","negbinomial.size",0.240934126168746,0.485565128759649,"ALAS1","ENSG00000023330","False",1512,0.72932553,0.54773146,55.6598240469208,2487,7.8192344,1512,"ALAS1",FALSE
"TWF2","OK","negbinomial.size",0.0126174462093873,0.0540162101921476,"TWF2","ENSG00000247596","False",1133,0.46568915,0.38232553,66.7741935483871,1588,7.37086,1133,"TWF2",FALSE
"RP5-1157M23.2","OK","negbinomial.size",0.059942736080938,0.18538798278974,"RP5-1157M23.2","ENSG00000243224","False",21,0.006158358,0.0061394726,99.3841642228739,21,3.0910425,21,"RP5-1157M23.2",FALSE
"PPM1M","OK","negbinomial.size",0.54284930603248,0.771657645508298,"PPM1M","ENSG00000164088","False",273,0.08504399,0.08162053,91.9941348973607,290,5.673323,273,"PPM1M",FALSE
"WDR82","OK","negbinomial.size",0.664588640189844,0.855662063532373,"WDR82","ENSG00000164091","False",1938,0.9533724,0.66955733,43.1671554252199,3251,8.087026,1938,"WDR82",FALSE
"GLYCTK","OK","negbinomial.size",0.318961234573438,0.576478472361956,"GLYCTK","ENSG00000168237","False",222,0.06832845,0.066095226,93.4897360703812,233,5.4553213,222,"GLYCTK",FALSE
"DNAH1","OK","negbinomial.size",0.692416230436222,0.873000093003693,"DNAH1","ENSG00000114841","False",15,0.004398827,0.0043891803,99.5601173020528,15,2.7725887,15,"DNAH1",FALSE
"BAP1","OK","negbinomial.size",0.00112534788598003,0.00669147906001228,"BAP1","ENSG00000163930","False",1154,0.45865104,0.37751207,66.158357771261,1564,7.355641,1154,"BAP1",FALSE
"PHF7","OK","negbinomial.size",5.08821599113287e-16,1.41976518605039e-14,"PHF7","ENSG00000010318","False",618,0.23020528,0.20718105,81.8768328445748,785,6.666957,618,"PHF7",TRUE
"SEMA3G","OK","negbinomial.size",0.323683763563405,0.581668209641259,"SEMA3G","ENSG00000010319","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"SEMA3G",FALSE
"TNNC1","OK","negbinomial.size",0.0708415595512411,0.209064998386664,"TNNC1","ENSG00000114854","False",49,0.015542522,0.015422974,98.5630498533724,53,3.988984,49,"TNNC1",FALSE
"NISCH","OK","negbinomial.size",0.164457739834243,0.379553597301065,"NISCH","ENSG00000010322","False",524,0.171261,0.15808095,84.633431085044,584,6.371612,524,"NISCH",FALSE
"STAB1","OK","negbinomial.size",0.442154201624135,0.692933289969536,"STAB1","ENSG00000010327","False",14,0.0041055717,0.004097167,99.5894428152493,14,2.7080503,14,"STAB1",FALSE
"NT5DC2","OK","negbinomial.size",0.000243713463370454,0.00168341139308134,"NT5DC2","ENSG00000168268","False",1695,0.8648094,0.6231589,50.2932551319648,2949,7.9895606,1695,"NT5DC2",FALSE
"SMIM4","OK","negbinomial.size",0.830184450072673,0.946519366651417,"SMIM4","ENSG00000168273","False",2906,3.2120235,1.4379432,14.7800586510264,10953,9.30146,2906,"SMIM4",FALSE
"PBRM1","OK","negbinomial.size",0.0184399643306504,0.0732470384001427,"PBRM1","ENSG00000163939","False",1640,0.72199416,0.543483,51.9061583577713,2462,7.8091354,1640,"PBRM1",FALSE
"GNL3","OK","negbinomial.size",5.47395491298149e-12,1.06888651144978e-10,"GNL3","ENSG00000163938","False",2843,2.6744869,1.3014135,16.6275659824047,9120,9.118335,2843,"GNL3",TRUE
"GLT8D1","OK","negbinomial.size",0.78340178360554,0.921715520169537,"GLT8D1","ENSG00000016864","False",1390,0.63372433,0.49086228,59.2375366568915,2161,7.678789,1390,"GLT8D1",FALSE
"SPCS1","OK","negbinomial.size",6.32177970657121e-06,5.88256722126273e-05,"SPCS1","ENSG00000114902","False",3192,4.582698,1.7196722,6.39296187683285,15627,9.656819,3192,"SPCS1",FALSE
"NEK4","OK","negbinomial.size",0.0428741479975357,0.143605193973379,"NEK4","ENSG00000114904","False",521,0.17419355,0.16058157,84.7214076246334,594,6.3885612,521,"NEK4",FALSE
"ITIH4","OK","negbinomial.size",0.421585568560496,0.67603320499992,"ITIH4","ENSG00000055955","False",4,0.0014662757,0.0014652017,99.8826979472141,5,1.7917595,4,"ITIH4",FALSE
"TMEM110-MUSTN1","OK","negbinomial.size",0.602617714104554,0.814224438653284,"TMEM110-MUSTN1","ENSG00000248592","False",13,0.0041055717,0.004097167,99.6187683284458,14,2.7080503,13,"TMEM110-MUSTN1",FALSE
"TMEM110","OK","negbinomial.size",0.0544281044087911,0.172838002573003,"TMEM110","ENSG00000213533","False",271,0.08651026,0.08297097,92.0527859237537,295,5.6903596,271,"TMEM110",FALSE
"SFMBT1","OK","negbinomial.size",9.30888238188598e-05,0.000705506206493585,"SFMBT1","ENSG00000163935","False",1453,0.6158358,0.47985235,57.3900293255132,2100,7.650169,1453,"SFMBT1",FALSE
"RP11-894J14.5","OK","negbinomial.size",0.259639496457405,0.508791779251894,"RP11-894J14.5","ENSG00000272305","False",10,0.0029325513,0.0029282598,99.7067448680352,10,2.3978953,10,"RP11-894J14.5",FALSE
"RFT1","OK","negbinomial.size",0.325778209284328,0.584278447179457,"RFT1","ENSG00000163933","False",1003,0.38328445,0.32446072,70.5865102639296,1307,7.1762547,1003,"RFT1",FALSE
"PRKCD","OK","negbinomial.size",0.569308036981712,0.790007246100378,"PRKCD","ENSG00000163932","False",403,0.13049853,0.122658715,88.1818181818182,445,6.100319,403,"PRKCD",FALSE
"TKT","OK","negbinomial.size",0.665888778352276,0.856795911417743,"TKT","ENSG00000163931","False",2711,2.2774193,1.1870563,20.4985337243402,7766,8.95764,2711,"TKT",FALSE
"DCP1A","OK","negbinomial.size",0.854477044669756,0.960379754722392,"DCP1A","ENSG00000272886","False",1180,0.44985336,0.37146243,65.3958944281525,1534,7.3362856,1180,"DCP1A",FALSE
"CACNA1D","OK","negbinomial.size",0.139082859761879,0.337692071843907,"CACNA1D","ENSG00000157388","False",187,0.05835777,0.056718435,94.5161290322581,199,5.2983174,187,"CACNA1D",FALSE
"CHDH","OK","negbinomial.size",0.00187259357520189,0.0104817001297612,"CHDH","ENSG00000016391","False",368,0.12346041,0.11641358,89.208211143695,421,6.0450053,368,"CHDH",FALSE
"IL17RB","OK","negbinomial.size",0.00925661890145474,0.0416079315717898,"IL17RB","ENSG00000056736","False",162,0.052199412,0.050882652,95.2492668621701,178,5.187386,162,"IL17RB",FALSE
"RP11-884K10.7","OK","negbinomial.size",0.935911066218147,0.998435239612671,"RP11-884K10.7","ENSG00000271976","False",39,0.011730205,0.011661939,98.8563049853372,40,3.713572,39,"RP11-884K10.7",FALSE
"ACTR8","OK","negbinomial.size",0.425465594364799,0.679235169993826,"ACTR8","ENSG00000113812","False",460,0.15630499,0.14522956,86.5102639296188,533,6.280396,460,"ACTR8",FALSE
"SELK","OK","negbinomial.size",0.00574324713080857,0.0279699147941738,"SELK","ENSG00000113811","False",2848,2.4821115,1.2476388,16.4809384164223,8464,9.043695,2848,"SELK",FALSE
"LRTM1","OK","negbinomial.size",0.999999999526373,0.999999999652452,"LRTM1","ENSG00000144771","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"LRTM1",FALSE
"WNT5A","OK","negbinomial.size",0.178340915675895,0.401124678194049,"WNT5A","ENSG00000114251","False",14,0.0046920823,0.004681109,99.5894428152493,16,2.8332133,14,"WNT5A",FALSE
"ERC2","OK","negbinomial.size",0.478338157089907,0.72354347467176,"ERC2","ENSG00000187672","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"ERC2",FALSE
"CCDC66","OK","negbinomial.size",0.300141637388547,0.557815554473255,"CCDC66","ENSG00000180376","False",1818,0.9143695,0.6493883,46.6862170087977,3118,8.045268,1818,"CCDC66",FALSE
"FAM208A","OK","negbinomial.size",0.368306751896759,0.627366414369735,"FAM208A","ENSG00000163946","False",1330,0.5439883,0.43436888,60.9970674486804,1855,7.526179,1330,"FAM208A",FALSE
"ARHGEF3","OK","negbinomial.size",0.0324171292557717,0.115604081097333,"ARHGEF3","ENSG00000163947","False",491,0.15953079,0.14801542,85.6011730205279,544,6.300786,491,"ARHGEF3",FALSE
"SPATA12","OK","negbinomial.size",0.00120894831257904,0.00712264944994344,"SPATA12","ENSG00000186451","False",41,0.01202346,0.011951753,98.7976539589443,41,3.7376697,41,"SPATA12",FALSE
"RP11-157F20.3","OK","negbinomial.size",0.490656492885867,0.733323153611559,"RP11-157F20.3","ENSG00000272202","False",30,0.009090909,0.009049836,99.1202346041056,31,3.465736,30,"RP11-157F20.3",FALSE
"IL17RD","OK","negbinomial.size",0.396288686535548,0.654340858729876,"IL17RD","ENSG00000144730","False",31,0.009384165,0.009340406,99.0909090909091,32,3.4965076,31,"IL17RD",FALSE
